BookId,Name,TotalWorks,TotalWords,TotalDays,LevelTag,ImgLink,Books
24533758901917904,沸腾的咖啡,6,489万,1252,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2018-03-08/5aa0a6187825b.jpeg",16007605304653304;15185695604581804;13716065305471804;12033180904558103;9680623304849903
22567716000017202,,,,,,,
7738325503169203,冰婶,4,672万,1287,大神,"https://facepic.qidian.com/qd_face/349573/a400109613/0",22304203401376704;16309483604670704;9714681604469903
13405417003238804,晏辽,3,417万,1107,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2019-08-24/5d61043d818ec.jpeg",21041811401561804;17527518606292104
16234750005145304,明月晞,1,31万,79,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2020-03-18/5e71f920418e7.jpeg",
26516628909890004,奔跑的椅子,1,108万,216,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2024-02-27/adbbdaf8524eaf6dfa285529074345b2diC867KYPX4f92O.jpg",
22539098009399204,池上当歌,2,106万,283,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2023-11-26/9521bf34e48c85a399fa944c02ec6d39diKO94C5n7w743L.jpg",27703202007871904
20406712808675204,轻妩媚,5,1276万,2759,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2019-10-14/5da46187450ba.jpeg",14278251704410404;11297053804255503;5433279103031701;3878400303021501
24460101601274904,俗人某,1,79万,304,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-12-24/1d6e894c3a30f68126405cdf8146406f8b6NrB5r3T73cnf.jpg",
16105470104653804,钗娘,1,30万,147,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-04-23/1aaae74b72a046898fe8a9f98c26cf156P4SG6t0KY2M1F1.jpg",
24123113709330504,圆子儿,3,681万,1536,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-08-30/dfe11e396b6727f47635341ef25831bco73Y5xs2Gg8d7IQ.jpg",9553205503380903;4697932703344301
26026681401611404,山人钠thing,1,58万,312,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-11-10/8fb778f6f4c6202e0047a11a8bb9e7a9hk05m5T6s5ou75W.jpg",
11780665304553203,人生倒师,1,5.7万,17,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2020-12-17/3a2e8f309df97f70f7f1db0d1e863a24vAuH6rzeO6m4ba1.jpg",
16097030504861304,愿卿na,1,4万,29,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2023-08-27/1eb0a9d914ec2485fc742e7700cf6f6bR8so3JT586d1bR8.jpg",
8263527304935303,囧囧有妖,6,756万,1971,白金,"https://facepic.qidian.com/qd_face/349573/a7909386/0",22244524601367604;19118954508500004;14156142405054404;11410159504961703;4818982104534803
21855922801825904,花匪,1,55万,310,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-06-01/844520e148fff18367602a21b2a73862B601585oM8tN9kF.jpg",
22116362000978402,夜北,4,813万,1997,白金,"https://facepic.qidian.com/qd_face/349573/a7848102/0",14315014604556304;8531646504192703;5783093804970003
24125475801715104,巧克力派,5,500万,2172,签约,"https://ccstatic-1252317822.file.myqcloud.com/writer/p1/contentv2/photo_default.png",27445029804678904;20111401108932404;17905671206857004;3735479503128701
3675832204934203,凤炅,3,793万,1619,大神,"https://facepic.qidian.com/qd_face/349573/a6002330/0",19526496601137104;13129774004140803
21967813308221904,徐老八,2,89万,714,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2020-03-20/5e745d1e1b455.jpeg",16479403005461704
25587167609305404,安知晓,10,1360万,3808,白金,"https://facepic.qidian.com/qd_face/349573/a400882929/0",22503638209712204;14877114405387804;12879845203138903;8410348603558103;3733580003258101;3733959804342801;3733359204040101;25414769000992501;5287361803343401
21942288508637804,红尘斩,5,132万,1576,签约,"https://ccstatic-1252317822.file.myqcloud.com/writer/p1/contentv2/photo_default.png",23203322909185304;20369376201854404;16454840705844504;15617981804117404
15903587405066104,兜兜有铜钱,4,943万,1725,签约,"http://ccstatic-1252317822.file.myqcloud.com/portraitimg/2016-10-09/57f9ca950ff31.png",20852618501723904;13353987403199804;5594085003680903
16376378805497104,,,,,,,
21285758901912104,一弯月,10,585万,2255,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-04-23/3b7a1a794c272f879c48c3bcccd828bc8Y5839Y7JR0l4ms.jpg",26350511901136104;22792057801881404;20793729208949304;19858564201731804;19566142008842304;18859621301698104;18282567008805404;15748161205746404;10086697504841803
5457374104142201,庞钠文,1,677万,2737,签约,"http://ccstatic-1252317822.file.myqcloud.com/portraitimg/2017-07-08/5960ce57f1dae.jpeg",
21313828008580104,见字就好,5,229万,660,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-04-12/490d04e039c0da536db5aae664d700aey0iNa67Gm1tv6h3.jpg",22126363601642004;19844755208529404;19377043408913604;17603497207778204
21292531108289404,暗香,18,1995万,4440,大神,"https://facepic.qidian.com/qd_face/349573/a401043267/0",29049656903062504;25324751901314504;19541280801382404;15615963605534504;13770344305942104;8662633103586503;5852880603647001;3735479904001501;3757013104474701;3735271804865301;3757111704589401;3735476303117201;3735435904959001;3735407704940301;3735297804877301;6971738704549101;5392573703328101
20578885008896904,逐暖南国,4,121万,415,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2020-12-25/5fe5e06223ffd.jpeg",24117834809874304;18617497508087304;16479896004500704
20480201308148404,玉司司,8,478万,1281,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2021-05-01/608d6e8d43bfa.jpeg",22502891709842604;19207271601733104;15642430604362904;14861190604720204;12510761204061803;11123996904236603;7898851803391103
21112700308459404,落跑糖心,4,126万,396,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-06-18/598d4b290e6ed6f2b8b8a3985c99c1aaGFx2REus92Bc6i9.jpg",22953603901769104;19954398508045904;19275324701532004
21121674001268404,来一大碗糖,5,334万,876,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2020-09-11/5f5b02f1cb183.jpeg",17679014807876804;16334069504962704;14148238405002404;7779600904171401
